art_id;type;year;title;pages_start;pages_end;booktitle;journal_series;journal_editor;journal_volume;journal_isbn;url
series/class/GaulV13;Article;2013;An Approach for Topic Trend Detection.;347;354;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#GaulV13
series/class/Salter-TownshendM13;Article;2013;Sentiment Analysis of Online Media.;137;145;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Salter-TownshendM13
series/class/Martini13;Article;2013;Visualisation and Analysis of Affiliation Networks as Tools to Describe Professional Profiles.;233;241;Classification and Data Mining;;;;;db/series/class/class364228893.html#Martini13
series/class/MorliniZ13;Article;2013;Variable Selection in Cluster Analysis: An Approach Based on a New Index.;71;79;Classification and Data Mining;;;;;db/series/class/class364228893.html#MorliniZ13
series/class/McParlandG13;Article;2013;Clustering Ordinal Data via Latent Variable Models.;127;135;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#McParlandG13
series/class/ZardettoS13;Article;2013;Optimal Decision Rules for Constrained Record Linkage: An Evolutionary Approach.;389;397;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#ZardettoS13
series/class/BesslerW13;Article;2013;A Theoretical and Empirical Analysis of the Black-Litterman Model.;377;386;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#BesslerW13
series/class/MuchaDB13;Article;2013;Classification of Roman Tiles with Stamp PARDALIVS.;309;317;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#MuchaDB13
series/class/Bove13;Article;2013;Asymmetric Multidimensional Scaling Models for Seriation.;55;62;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#Bove13
series/class/BalzanellaRV13;Article;2013;Data Stream Summarization by Histograms Clustering.;27;35;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#BalzanellaRV13
series/class/Stefanini13;Article;2013;Graphical Models for Eliciting Structural Information.;139;146;Classification and Data Mining;;;;;db/series/class/class364228893.html#Stefanini13
series/class/FrostB13;Article;2013;Comparing Earth Mover's Distance and its Approximations for Clustering Images.;69;78;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#FrostB13
series/class/Weber13;Article;2013;Adaptive Spectral Clustering in Molecular Simulation.;147;154;Classification and Data Mining;;;;;db/series/class/class364228893.html#Weber13
series/class/BocLM13;Article;2013;An Efficient Algorithm for the Detection and Classification of Horizontal Gene Transfer Events and Identification of Mosaic Genes.;253;260;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#BocLM13
series/class/GertheissST13;Article;2013;Regularization and Model Selection with Categorical Covariates.;215;222;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#GertheissST13
series/class/LiberatiM13a;Article;2013;Dynamic Principal Component Analysis: A Banking Customer Satisfaction Evaluation.;397;405;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#LiberatiM13a
series/class/LiberatiM13;Article;2013;Evolutionary Customer Evaluation: A Dynamic Approach to a Banking Case.;191;199;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#LiberatiM13
